# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001069838321932e+00,4.500000000000000111e-01
1.000052583781346316e+00,4.699999999999999734e-01
1.002690014013628783e+00,5.000000000000000000e-01
1.008161953572295655e+00,5.100000000000000089e-01
1.021732599699848754e+00,5.200000000000000178e-01
1.097400891963052016e+00,5.500000000000000444e-01
1.179879708937162652e+00,5.999999999999999778e-01
1.195975686136510729e+00,6.199999999999999956e-01
1.241602888250384673e+00,6.500000000000000222e-01
1.285127514676172922e+00,6.999999999999999556e-01
1.300891316245034623e+00,7.199999999999999734e-01
1.320064300191814644e+00,7.500000000000000000e-01
1.333655139451250582e+00,7.700000000000000178e-01
1.354313612546432344e+00,8.000000000000000444e-01
1.366630417967191535e+00,8.199999999999999512e-01
1.385553539246527910e+00,8.499999999999999778e-01
1.399196002628968039e+00,8.699999999999999956e-01
1.414473495930630431e+00,9.000000000000000222e-01
1.425448613108919016e+00,9.200000000000000400e-01
1.460437732496445928e+00,9.699999999999999734e-01
1.476050756835189937e+00,9.899999999999999911e-01
