# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001068194518838e+00,4.500000000000000111e-01
1.000052572987937705e+00,4.699999999999999734e-01
1.002690074793973762e+00,5.000000000000000000e-01
1.008171900234033247e+00,5.100000000000000089e-01
1.021738170009970581e+00,5.200000000000000178e-01
1.097716681932408900e+00,5.500000000000000444e-01
1.177906285133687003e+00,5.999999999999999778e-01
1.193240166998039475e+00,6.199999999999999956e-01
1.240448542452551317e+00,6.500000000000000222e-01
1.280751447540722010e+00,6.999999999999999556e-01
1.295392917975141334e+00,7.199999999999999734e-01
1.316155403214987141e+00,7.500000000000000000e-01
1.329457579316344340e+00,7.700000000000000178e-01
1.350803405014778358e+00,8.000000000000000444e-01
1.365024677561368138e+00,8.199999999999999512e-01
1.384534954494105463e+00,8.499999999999999778e-01
1.399767648854491897e+00,8.699999999999999956e-01
1.421079574246046473e+00,9.000000000000000222e-01
1.434969296655976168e+00,9.200000000000000400e-01
1.464995563812653501e+00,9.699999999999999734e-01
1.475003699275284852e+00,9.899999999999999911e-01
