# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001068194518838e+00,4.500000000000000111e-01
1.000052572987937705e+00,4.699999999999999734e-01
1.002690074793973762e+00,5.000000000000000000e-01
1.008102989984774212e+00,5.100000000000000089e-01
1.020698290846153711e+00,5.200000000000000178e-01
1.089707733882133045e+00,5.500000000000000444e-01
1.158825297948711031e+00,5.999999999999999778e-01
1.187813866046904421e+00,6.199999999999999956e-01
1.215745606172362825e+00,6.500000000000000222e-01
1.242291468203748250e+00,6.999999999999999556e-01
1.253253493383242656e+00,7.199999999999999734e-01
1.268183446264738556e+00,7.500000000000000000e-01
1.277768356454613397e+00,7.700000000000000178e-01
1.291962159020379142e+00,8.000000000000000444e-01
1.301159268656736145e+00,8.199999999999999512e-01
1.314656043468977131e+00,8.499999999999999778e-01
1.323695137390161314e+00,8.699999999999999956e-01
1.337088586645840627e+00,9.000000000000000222e-01
1.346202414986414242e+00,9.200000000000000400e-01
1.366797714100656647e+00,9.699999999999999734e-01
1.375335822636968297e+00,9.899999999999999911e-01
