# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001029203517744e+00,4.500000000000000111e-01
1.000051353029035139e+00,4.699999999999999734e-01
1.002596547889593293e+00,5.000000000000000000e-01
1.007848771873200988e+00,5.100000000000000089e-01
1.020465009761194253e+00,5.200000000000000178e-01
1.095033629430005373e+00,5.500000000000000444e-01
1.174961025330343523e+00,5.999999999999999778e-01
1.190357434592819841e+00,6.199999999999999956e-01
1.236463082584382089e+00,6.500000000000000222e-01
1.276733554114204194e+00,6.999999999999999556e-01
1.291412058586731693e+00,7.199999999999999734e-01
1.311059276726709744e+00,7.500000000000000000e-01
1.323808712543956823e+00,7.700000000000000178e-01
1.342775972029251141e+00,8.000000000000000444e-01
1.354762587001846041e+00,8.199999999999999512e-01
1.368527656701861384e+00,8.499999999999999778e-01
1.378421802205103797e+00,8.699999999999999956e-01
1.392915465645264028e+00,9.000000000000000222e-01
1.401688093250412326e+00,9.200000000000000400e-01
1.422120859019340378e+00,9.699999999999999734e-01
1.426918805552763736e+00,9.899999999999999911e-01
