# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001111448002966e+00,4.500000000000000111e-01
1.000054650269921463e+00,4.699999999999999734e-01
1.002821656268963357e+00,5.000000000000000000e-01
1.008428582701156095e+00,5.100000000000000089e-01
1.021321666782504689e+00,5.200000000000000178e-01
1.083914421789769822e+00,5.500000000000000444e-01
1.145578340777437587e+00,5.999999999999999778e-01
1.158651846461948187e+00,6.199999999999999956e-01
1.174485308865734767e+00,6.500000000000000222e-01
1.198662237566644695e+00,6.999999999999999556e-01
1.209700370271899361e+00,7.199999999999999734e-01
1.226978554326353166e+00,7.500000000000000000e-01
1.264028289277927986e+00,7.700000000000000178e-01
1.284075340976239987e+00,8.000000000000000444e-01
1.295984799699270162e+00,8.199999999999999512e-01
1.310985950086639873e+00,8.499999999999999778e-01
1.321301468923977263e+00,8.699999999999999956e-01
1.337590983986170157e+00,9.000000000000000222e-01
1.347993068383327664e+00,9.200000000000000400e-01
1.375155731384947178e+00,9.699999999999999734e-01
1.382631543804180962e+00,9.899999999999999911e-01
