# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001111448002966e+00,4.500000000000000111e-01
1.000054650269921463e+00,4.699999999999999734e-01
1.002821656268963357e+00,5.000000000000000000e-01
1.008394501072615190e+00,5.100000000000000089e-01
1.020388186577273704e+00,5.200000000000000178e-01
1.079217110107185462e+00,5.500000000000000444e-01
1.138797298621776921e+00,5.999999999999999778e-01
1.157807313734962928e+00,6.199999999999999956e-01
1.177993070701443434e+00,6.500000000000000222e-01
1.194365875603389249e+00,6.999999999999999556e-01
1.200688566472361440e+00,7.199999999999999734e-01
1.209256344728516508e+00,7.500000000000000000e-01
1.215011138633822041e+00,7.700000000000000178e-01
1.224675737559397515e+00,8.000000000000000444e-01
1.230451224314297987e+00,8.199999999999999512e-01
1.239992858543860432e+00,8.499999999999999778e-01
1.246261085994238238e+00,8.699999999999999956e-01
1.255645490733282132e+00,9.000000000000000222e-01
1.260327634683567233e+00,9.200000000000000400e-01
1.273815185806027150e+00,9.699999999999999734e-01
1.278131810911296462e+00,9.899999999999999911e-01
