# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001069838321932e+00,4.500000000000000111e-01
1.000052583781346316e+00,4.699999999999999734e-01
1.002690014013628783e+00,5.000000000000000000e-01
1.008094448592481207e+00,5.100000000000000089e-01
1.020908282484204177e+00,5.200000000000000178e-01
1.093040266666990057e+00,5.500000000000000444e-01
1.171266310727974824e+00,5.999999999999999778e-01
1.192413253446040544e+00,6.199999999999999956e-01
1.236327873287074386e+00,6.500000000000000222e-01
1.271451808735958755e+00,6.999999999999999556e-01
1.286477370812399545e+00,7.199999999999999734e-01
1.305208361586733368e+00,7.500000000000000000e-01
1.316600656920558832e+00,7.700000000000000178e-01
1.331682772847919249e+00,8.000000000000000444e-01
1.340381718231126618e+00,8.199999999999999512e-01
1.355090625227974632e+00,8.499999999999999778e-01
1.363746202224332071e+00,8.699999999999999956e-01
1.375004311672514357e+00,9.000000000000000222e-01
1.380447302576454094e+00,9.200000000000000400e-01
1.393564851427912421e+00,9.699999999999999734e-01
1.393973192430548957e+00,9.899999999999999911e-01
