# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001029203517744e+00,4.500000000000000111e-01
1.000051353029035139e+00,4.699999999999999734e-01
1.002596547889593293e+00,5.000000000000000000e-01
1.007865745710582184e+00,5.100000000000000089e-01
1.020649571767512365e+00,5.200000000000000178e-01
1.096328728266111829e+00,5.500000000000000444e-01
1.177167744481176781e+00,5.999999999999999778e-01
1.193997175669511135e+00,6.199999999999999956e-01
1.242783996205765629e+00,6.500000000000000222e-01
1.282174313984550285e+00,6.999999999999999556e-01
1.296743024450973447e+00,7.199999999999999734e-01
1.316312266545324183e+00,7.500000000000000000e-01
1.329706108080663807e+00,7.700000000000000178e-01
1.349069480779848229e+00,8.000000000000000444e-01
1.361668112271939401e+00,8.199999999999999512e-01
1.376276003541666793e+00,8.499999999999999778e-01
1.388193514702095177e+00,8.699999999999999956e-01
1.403517271377675124e+00,9.000000000000000222e-01
1.413111814705939828e+00,9.200000000000000400e-01
1.442510119461938745e+00,9.699999999999999734e-01
1.454708776037846096e+00,9.899999999999999911e-01
