# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001029203517744e+00,4.500000000000000111e-01
1.000051353029035139e+00,4.699999999999999734e-01
1.002596547889593293e+00,5.000000000000000000e-01
1.007782974713183899e+00,5.100000000000000089e-01
1.019672439952925114e+00,5.200000000000000178e-01
1.090079079634514558e+00,5.500000000000000444e-01
1.189427981539821211e+00,5.999999999999999778e-01
1.206775764621185631e+00,6.199999999999999956e-01
1.228831883328714403e+00,6.500000000000000222e-01
1.263837257911234024e+00,6.999999999999999556e-01
1.276576998335399615e+00,7.199999999999999734e-01
1.295191718102306933e+00,7.500000000000000000e-01
1.309478753064618584e+00,7.700000000000000178e-01
1.327209688901314077e+00,8.000000000000000444e-01
1.338903489759349918e+00,8.199999999999999512e-01
1.357420066847176088e+00,8.499999999999999778e-01
1.367641286874664797e+00,8.699999999999999956e-01
1.381764130065766816e+00,9.000000000000000222e-01
1.383209598413951635e+00,9.200000000000000400e-01
1.391988124456292830e+00,9.699999999999999734e-01
1.399404800199886001e+00,9.899999999999999911e-01
