# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001068194518838e+00,4.500000000000000111e-01
1.000052572987937705e+00,4.699999999999999734e-01
1.002690074793973762e+00,5.000000000000000000e-01
1.008178336261575270e+00,5.100000000000000089e-01
1.021873278365927229e+00,5.200000000000000178e-01
1.098930996393437720e+00,5.500000000000000444e-01
1.181957433766862575e+00,5.999999999999999778e-01
1.198128846952579929e+00,6.199999999999999956e-01
1.247330345937016416e+00,6.500000000000000222e-01
1.288777368314780736e+00,6.999999999999999556e-01
1.305369842797721391e+00,7.199999999999999734e-01
1.327891762049713265e+00,7.500000000000000000e-01
1.341709529906361942e+00,7.700000000000000178e-01
1.364387788226492759e+00,8.000000000000000444e-01
1.379537440939796689e+00,8.199999999999999512e-01
1.402078477736059536e+00,8.499999999999999778e-01
1.416299602844735439e+00,8.699999999999999956e-01
1.438088315165897413e+00,9.000000000000000222e-01
1.452954563523537246e+00,9.200000000000000400e-01
1.493076503707131408e+00,9.699999999999999734e-01
1.505707935553399990e+00,9.899999999999999911e-01
