# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001069405351162e+00,4.500000000000000111e-01
1.000052586490744133e+00,4.699999999999999734e-01
1.002690555532224304e+00,5.000000000000000000e-01
1.008165305011212487e+00,5.100000000000000089e-01
1.021618224635155059e+00,5.200000000000000178e-01
1.097141171187044240e+00,5.500000000000000444e-01
1.176521195556640365e+00,5.999999999999999778e-01
1.191579551393823433e+00,6.199999999999999956e-01
1.241164755114282592e+00,6.500000000000000222e-01
1.278329318165741801e+00,6.999999999999999556e-01
1.292161611400350241e+00,7.199999999999999734e-01
1.312376237910102494e+00,7.500000000000000000e-01
1.325528247738146037e+00,7.700000000000000178e-01
1.344927892350985088e+00,8.000000000000000444e-01
1.357264299197834978e+00,8.199999999999999512e-01
1.376920800247008358e+00,8.499999999999999778e-01
1.389301186386784570e+00,8.699999999999999956e-01
1.407399544656744883e+00,9.000000000000000222e-01
1.417718645366843111e+00,9.200000000000000400e-01
1.428720503236262429e+00,9.699999999999999734e-01
1.437845715179822959e+00,9.899999999999999911e-01
