# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001069405351162e+00,4.500000000000000111e-01
1.000052586490744133e+00,4.699999999999999734e-01
1.002690555532224304e+00,5.000000000000000000e-01
1.008145197313581987e+00,5.100000000000000089e-01
1.021354312784541918e+00,5.200000000000000178e-01
1.094877629545973674e+00,5.500000000000000444e-01
1.172720289449868059e+00,5.999999999999999778e-01
1.206911412337481559e+00,6.199999999999999956e-01
1.234429549129176351e+00,6.500000000000000222e-01
1.268551879604836063e+00,6.999999999999999556e-01
1.281879533097812329e+00,7.199999999999999734e-01
1.299602480319671072e+00,7.500000000000000000e-01
1.311597340613802842e+00,7.700000000000000178e-01
1.329379928093443297e+00,8.000000000000000444e-01
1.341104364039707564e+00,8.199999999999999512e-01
1.358852338842387653e+00,8.499999999999999778e-01
1.371000907174488193e+00,8.699999999999999956e-01
1.387095081922713469e+00,9.000000000000000222e-01
1.397502591460464849e+00,9.200000000000000400e-01
1.422758804593307502e+00,9.699999999999999734e-01
1.433935877793262703e+00,9.899999999999999911e-01
